Type1-L5	Type1-L4	Type1-L3	Type1-L2	Type1-L1	Type2-L5	Type2-L4	Type2-L3	Type2-L2	Type2-L1	
1	SMA_L	SMA_L	SMA_L	SMA_L	SMA_L	SMA_L	SMA_L	SMA_L	SMA_L	SMA_L
2	SMA_R	SMA_R	SMA_R	SMA_R	SMA_R	SMA_R	SMA_R	SMA_R	SMA_R	SMA_R
3	PFC_L	PFC_L	PFC_L	PFC_L	PFC_L	PFC_L	PFC_L	PFC_L	PFC_L	PFC_L
4	PFC_R	PFC_R	PFC_R	PFC_R	PFC_R	PFC_R	PFC_R	PFC_R	PFC_R	PFC_R
5	Frontal_L	Frontal_L	Frontal_L	Frontal_L	Frontal_L	Frontal_L	Frontal_L	Frontal_L	Frontal_L	Frontal_L
6	Frontal_R	Frontal_R	Frontal_R	Frontal_R	Frontal_R	Frontal_R	Frontal_R	Frontal_R	Frontal_R	Frontal_R
7	Parietal_L	Parietal_L	Parietal_L	Parietal_L	Parietal_L	Parietal_L	Parietal_L	Parietal_L	Parietal_L	Parietal_L
8	Parietal_R	Parietal_R	Parietal_R	Parietal_R	Parietal_R	Parietal_R	Parietal_R	Parietal_R	Parietal_R	Parietal_R
9	Limbic_L	Limbic_L	Limbic_L	Limbic_L	Limbic_L	Limbic_L	Limbic_L	Limbic_L	Limbic_L	Limbic_L
10	Limbic_R	Limbic_R	Limbic_R	Limbic_R	Limbic_R	Limbic_R	Limbic_R	Limbic_R	Limbic_R	Limbic_R
11	Temporal_L	Temporal_L	Temporal_L	Temporal_L	Temporal_L	Temporal_L	Temporal_L	Temporal_L	Temporal_L	Temporal_L
12	Temporal_R	Temporal_R	Temporal_R	Temporal_R	Temporal_R	Temporal_R	Temporal_R	Temporal_R	Temporal_R	Temporal_R
13	Optical_L	Optical_L	Optical_L	Optical_L	Optical_L	Optical_L	Optical_L	Optical_L	Optical_L	Optical_L
14	Optical_R	Optical_R	Optical_R	Optical_R	Optical_R	Optical_R	Optical_R	Optical_R	Optical_R	Optical_R
15	ACC_L	ACC_L	ACC_L	ACC_L	ACC_L	ACC_L	ACC_L	ACC_L	ACC_L	ACC_L
16	ACC_R	ACC_R	ACC_R	ACC_R	ACC_R	ACC_R	ACC_R	ACC_R	ACC_R	ACC_R
17	Insula_L	Insula_L	Insula_L	Insula_L	Insula_L	Insula_L	Insula_L	Insula_L	Insula_L	Insula_L
18	Insula_R	Insula_R	Insula_R	Insula_R	Insula_R	Insula_R	Insula_R	Insula_R	Insula_R	Insula_R
19	BasalGang_L	BasalGang_L	BasalGang_L	BasalGang_L	BasalGang_L	BasalGang_L	BasalGang_L	BasalGang_L	BasalGang_L	BasalGang_L
20	BasalGang_R	BasalGang_R	BasalGang_R	BasalGang_R	BasalGang_R	BasalGang_R	BasalGang_R	BasalGang_R	BasalGang_R	BasalGang_R
21	Thalamus_L	Thalamus_L	Thalamus_L	Thalamus_L	Thalamus_L	Thalamus_L	Thalamus_L	Thalamus_L	Thalamus_L	Thalamus_L
22	Thalamus_R	Thalamus_R	Thalamus_R	Thalamus_R	Thalamus_R	Thalamus_R	Thalamus_R	Thalamus_R	Thalamus_R	Thalamus_R
23	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L
24	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R
25	Midbrain_L	Midbrain_L	Midbrain_L	Midbrain_L	Midbrain_L	Midbrain_L	Midbrain_L	Midbrain_L	Midbrain_L	Midbrain_L
26	Midbrain_R	Midbrain_R	Midbrain_R	Midbrain_R	Midbrain_R	Midbrain_R	Midbrain_R	Midbrain_R	Midbrain_R	Midbrain_R
27	cerebellum_R	cerebellum_R	cerebellum_R	cerebellum_R	cerebellum_R	cerebellum_R	cerebellum_R	cerebellum_R	cerebellum_R	cerebellum_R
28	cerebellum_L	cerebellum_L	cerebellum_L	cerebellum_L	cerebellum_L	cerebellum_L	cerebellum_L	cerebellum_L	cerebellum_L	cerebellum_L
29	Pons_L	Pons_L	Pons_L	Pons_L	Pons_L	Pons_L	Pons_L	Pons_L	Pons_L	Pons_L
30	Pons_R	Pons_R	Pons_R	Pons_R	Pons_R	Pons_R	Pons_R	Pons_R	Pons_R	Pons_R
31	Medulla_L	Medulla_L	Medulla_L	Medulla_L	Medulla_L	Medulla_L	Medulla_L	Medulla_L	Medulla_L	Medulla_L
32	Medulla_R	Medulla_R	Medulla_R	Medulla_R	Medulla_R	Medulla_R	Medulla_R	Medulla_R	Medulla_R	Medulla_R
33	AnteriorWM_L	AnteriorWM_L	AnteriorWM_L	AnteriorWM_L	AnteriorWM_L	AnteriorWM_L	AnteriorWM_L	AnteriorWM_L	AnteriorWM_L	AnteriorWM_L
34	AnteriorWM_R	AnteriorWM_R	AnteriorWM_R	AnteriorWM_R	AnteriorWM_R	AnteriorWM_R	AnteriorWM_R	AnteriorWM_R	AnteriorWM_R	AnteriorWM_R
35	PosteriorWM_L	PosteriorWM_L	PosteriorWM_L	PosteriorWM_L	PosteriorWM_L	PosteriorWM_L	PosteriorWM_L	PosteriorWM_L	PosteriorWM_L	PosteriorWM_L
36	PosteriorWM_R	PosteriorWM_R	PosteriorWM_R	PosteriorWM_R	PosteriorWM_R	PosteriorWM_R	PosteriorWM_R	PosteriorWM_R	PosteriorWM_R	PosteriorWM_R
37	CorpusCallosum_L	CorpusCallosum_L	CorpusCallosum_L	CorpusCallosum_L	CorpusCallosum_L	CorpusCallosum_L	CorpusCallosum_L	CorpusCallosum_L	CorpusCallosum_L	CorpusCallosum_L
38	CorpusCallosum_R	CorpusCallosum_R	CorpusCallosum_R	CorpusCallosum_R	CorpusCallosum_R	CorpusCallosum_R	CorpusCallosum_R	CorpusCallosum_R	CorpusCallosum_R	CorpusCallosum_R
39	InferiorWM_L	InferiorWM_L	InferiorWM_L	InferiorWM_L	InferiorWM_L	InferiorWM_L	InferiorWM_L	InferiorWM_L	InferiorWM_L	InferiorWM_L
40	InferiorWM_R	InferiorWM_R	InferiorWM_R	InferiorWM_R	InferiorWM_R	InferiorWM_R	InferiorWM_R	InferiorWM_R	InferiorWM_R	InferiorWM_R
41	LimbicWM_L	LimbicWM_L	LimbicWM_L	LimbicWM_L	LimbicWM_L	LimbicWM_L	LimbicWM_L	LimbicWM_L	LimbicWM_L	LimbicWM_L
42	LimbicWM_R	LimbicWM_R	LimbicWM_R	LimbicWM_R	LimbicWM_R	LimbicWM_R	LimbicWM_R	LimbicWM_R	LimbicWM_R	LimbicWM_R
43	LateralVentricle_L	LateralVentricle_L	LateralVentricle_L	LateralVentricle_L	LateralVentricle_L	LateralVentricle_L	LateralVentricle_L	LateralVentricle_L	LateralVentricle_L	LateralVentricle_L
44	LateralVentricle_R	LateralVentricle_R	LateralVentricle_R	LateralVentricle_R	LateralVentricle_R	LateralVentricle_R	LateralVentricle_R	LateralVentricle_R	LateralVentricle_R	LateralVentricle_R
45	IIIandIV_ventricle	IIIandIV_ventricle	IIIandIV_ventricle	IIIandIV_ventricle	IIIandIV_ventricle	IIIandIV_ventricle	IIIandIV_ventricle	IIIandIV_ventricle	IIIandIV_ventricle	IIIandIV_ventricle
46	FrontSul_L	FrontSul_L	FrontSul_L	FrontSul_L	FrontSul_L	FrontSul_L	FrontSul_L	FrontSul_L	FrontSul_L	FrontSul_L
47	FrontSul_R	FrontSul_R	FrontSul_R	FrontSul_R	FrontSul_R	FrontSul_R	FrontSul_R	FrontSul_R	FrontSul_R	FrontSul_R
48	CentralSul_L	CentralSul_L	CentralSul_L	CentralSul_L	CentralSul_L	CentralSul_L	CentralSul_L	CentralSul_L	CentralSul_L	CentralSul_L
49	CentralSul_R	CentralSul_R	CentralSul_R	CentralSul_R	CentralSul_R	CentralSul_R	CentralSul_R	CentralSul_R	CentralSul_R	CentralSul_R
50	SylvianFissureExt_L	SylvianFissureExt_L	SylvianFissureExt_L	SylvianFissureExt_L	SylvianFissureExt_L	SylvianFissureExt_L	SylvianFissureExt_L	SylvianFissureExt_L	SylvianFissureExt_L	SylvianFissureExt_L
51	SylvianFissureExt_R	SylvianFissureExt_R	SylvianFissureExt_R	SylvianFissureExt_R	SylvianFissureExt_R	SylvianFissureExt_R	SylvianFissureExt_R	SylvianFissureExt_R	SylvianFissureExt_R	SylvianFissureExt_R
52	ParietSul_L	ParietSul_L	ParietSul_L	ParietSul_L	ParietSul_L	ParietSul_L	ParietSul_L	ParietSul_L	ParietSul_L	ParietSul_L
53	ParietSul_R	ParietSul_R	ParietSul_R	ParietSul_R	ParietSul_R	ParietSul_R	ParietSul_R	ParietSul_R	ParietSul_R	ParietSul_R
54	CinguSul_L	CinguSul_L	CinguSul_L	CinguSul_L	CinguSul_L	CinguSul_L	CinguSul_L	CinguSul_L	CinguSul_L	CinguSul_L
55	CinguSul_R	CinguSul_R	CinguSul_R	CinguSul_R	CinguSul_R	CinguSul_R	CinguSul_R	CinguSul_R	CinguSul_R	CinguSul_R
56	OcciptSul_L	OcciptSul_L	OcciptSul_L	OcciptSul_L	OcciptSul_L	OcciptSul_L	OcciptSul_L	OcciptSul_L	OcciptSul_L	OcciptSul_L
57	OcciptSul_R	OcciptSul_R	OcciptSul_R	OcciptSul_R	OcciptSul_R	OcciptSul_R	OcciptSul_R	OcciptSul_R	OcciptSul_R	OcciptSul_R
58	TempSul_L	TempSul_L	TempSul_L	TempSul_L	TempSul_L	TempSul_L	TempSul_L	TempSul_L	TempSul_L	TempSul_L
59	TempSul_R	TempSul_R	TempSul_R	TempSul_R	TempSul_R	TempSul_R	TempSul_R	TempSul_R	TempSul_R	TempSul_R
